Title,Author,State,District,Date of Challenge/Removal,Banned Status,Ban Origin
Blankets,"Thompson, Craig",Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Blankets,"Thompson, Craig",Florida,St. John's County School District,Jan-23,Banned from Libraries and Classrooms,Formal Challenge
Blended,"Draper, Sharon M.",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Blood Water Paint,"McCullough, Joy",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Book of Bible Stories: New International Version,"DePaola, Tomie",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Born Ready: The True Story of a Boy Named Penelope,"Patterson, Jodie",Florida,Escambia County Public Schools,Oct-22,Banned Pending Investigation,Formal Challenge
Both Can Be True,"Machias, Jules",Florida,School District of Manatee County,Jul-22,Banned from Libraries,Legislative Action
Boy Girl Boy,"Koertge, Ron",Florida,Escambia County Public Schools,Dec-22,Banned Pending Investigation,Formal Challenge
Boy Girl Boy,"Koertge, Ron",Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Boy Meets Boy,"Levithan, David",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Boy Toy,"Lyga, Barry",Florida,Clay County School District,Jul-22,Banned from Libraries and Classrooms,Formal Challenge
Boy Toy,"Lyga, Barry",Florida,Escambia County Public Schools,Dec-22,Banned Pending Investigation,Formal Challenge
Boy Toy,"Lyga, Barry",Florida,Santa Rosa County District Schools,Jun-23,Banned from Libraries and Classrooms,Formal Challenge
Boy Toy,"Lyga, Barry",Florida,St. John's County School District,Jan-23,Banned from Libraries and Classrooms,Formal Challenge
Boy2Girl,"Blacker, Terence",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
Brazen: Rebel Ladies Who Rocked the World,"Bagieu, Pénélope",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Breathless,"Niven, Jennifer",Florida,Clay County School District,Jul-22,Banned from Libraries and Classrooms,Formal Challenge
Breathless,"Niven, Jennifer",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
Breathless,"Niven, Jennifer",Florida,Flagler Schools,Oct-22,Banned from Libraries,Formal Challenge
Bumped,"McCafferty, Megan",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
Bumped,"McCafferty, Megan",Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Burned (EH),"Hopkins, Ellen",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Burned (EH),"Hopkins, Ellen",Florida,Escambia County Public Schools,Dec-22,Banned Pending Investigation,Formal Challenge
Burned (EH),"Hopkins, Ellen",Florida,Hernando County Schools,Oct-22,Banned from Libraries and Classrooms,Administration
Burned (EH),"Hopkins, Ellen",Florida,Martin County Schools,Mar-23,Banned from Libraries and Classrooms,Administration
Burned (EH),"Hopkins, Ellen",Florida,Volusia County Schools,Jan-23,Banned from Libraries,Administration
Burned (PCC),"Cast, P. C.",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
"Bury the Dead: Tombs, Corpses, Mummies, Skeletons and Rituals","Sloan, Christopher",Florida,Gilchrist County Schools,Mar-23,Banned from Libraries and Classrooms,Administration
Call Me By Your Name,"Aciman, André",Florida,St. John's County School District,Jan-23,Banned from Libraries and Classrooms,Formal Challenge
Calvin,"Ford, J. R.",Florida,Escambia County Public Schools,Feb-23,Banned Pending Investigation,Formal Challenge
Calvin,"Ford, J. R.",Florida,The School District of Palm Beach County,Jul-22,Banned from Libraries,Legislative Action
"Can I Touch Your Hair? Poems of Race, Mistakes, and Friendship","Latham, Irene",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Cemetery Boys,"Thomas, Aiden",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Change of Heart: A Novel,"Picoult, Jodi",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
Cheer Up: Love and Pompoms,"Frasier, Crystal",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
"Chicken Soup for the Teenage Soul: 101 Stories of Life, Love, and Learning","Canfield, Jack",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Children's Bible Stories from Genesis to Daniel,"Chaikin, Miriam",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Children's Stories from the Bible,"Pirotta, Saviour",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Choke (CP),"Palahniuk, Chuck",Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Choke (SO),"Skye, Obert",Florida,Sarasota County Schools,Mar-23,Banned from Libraries and Classrooms,Informal Challenge
Chosen,"Cast, P. C.",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Chosen,"Cast, P. C.",Florida,Escambia County Public Schools,Dec-22,Banned Pending Investigation,Formal Challenge
"Christian, the Hugging Lion","Richardson, Justin",Florida,School District of Manatee County,Jun-23,Banned Pending Investigation,Administration
Christmas in the Barn,"Brown, Margaret Wise",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Cinderella Is Dead,"Bayron, Kalynn",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
City of Heavenly Fire,"Clare, Cassandra",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
City of Thieves,"Benioff, David",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
Class Act,"Craft, Jerry",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Class Act,"Craft, Jerry",Florida,School District of Hamilton County,Mar-23,Banned from Libraries and Classrooms,Administration
Clockwork Princess,"Clare, Cassandra",Florida,Clay County School District,Sep-22,Banned from Libraries,Formal Challenge
Clockwork Princess,"Clare, Cassandra",Florida,Escambia County Public Schools,Oct-22,Banned Pending Investigation,Formal Challenge
Clockwork Princess,"Clare, Cassandra",Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Closer to Nowhere,"Hopkins, Ellen",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Collateral,"Hopkins, Ellen",Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Collateral,"Hopkins, Ellen",Florida,Escambia County Public Schools,Jun-23,Banned Pending Investigation,Formal Challenge
Collateral,"Hopkins, Ellen",Florida,Hernando County Schools,Oct-22,Banned from Libraries and Classrooms,Administration
Collateral,"Hopkins, Ellen",Florida,Martin County Schools,Mar-23,Banned from Libraries and Classrooms,Administration
Collateral,"Hopkins, Ellen",Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Concealed,"Gonzalez, Christina Diaz",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Concrete Rose,"Thomas, Angie",Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Concrete Rose,"Thomas, Angie",Florida,Escambia County Public Schools,Jan-23,Banned Pending Investigation,Formal Challenge
Countries in the News: Cuba,"Walsh, Kieran",Florida,Miami-Dade Public Schools,Mar-23,Banned from Libraries,Formal Challenge
Crank,"Hopkins, Ellen",Florida,Clay County School District,Jul-22,Banned from Libraries and Classrooms,Formal Challenge
Crank,"Hopkins, Ellen",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
Crank,"Hopkins, Ellen",Florida,Flagler Schools,Oct-22,Banned from Libraries and Classrooms,Formal Challenge
Crank,"Hopkins, Ellen",Florida,Hernando County Schools,Oct-22,Banned from Libraries and Classrooms,Administration
Crank,"Hopkins, Ellen",Florida,Lake County Schools,Fall 2022,Banned from Libraries and Classrooms,Legislative Action
Crank,"Hopkins, Ellen",Florida,Martin County Schools,Mar-23,Banned from Libraries and Classrooms,Administration
Crank,"Hopkins, Ellen",Florida,Santa Rosa County District Schools,May-23,Banned from Libraries and Classrooms,Formal Challenge
Crank,"Hopkins, Ellen",Florida,School District of Manatee County,Jul-22,Banned from Libraries,Legislative Action
Crank,"Hopkins, Ellen",Florida,Volusia County Schools,Jan-23,Banned from Libraries,Administration
Crossings,"Steel, Danielle",Florida,Martin County Schools,Mar-23,Banned from Libraries and Classrooms,Formal Challenge
Crown of Midnight,"Maas, Sarah J.",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Cuban Kids,"Ancona, George",Florida,Miami-Dade Public Schools,Mar-23,Banned from Libraries,Formal Challenge
Cut,"McCormick, Patricia",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Daddy: A Novel,"Steel, Danielle",Florida,Martin County Schools,Mar-23,Banned from Libraries and Classrooms,Formal Challenge
Daddy's Roommate,"Willhoite, Michael",Florida,Miami-Dade Public Schools,Mar-23,Banned from Libraries and Classrooms,Administration
Damsel,"Arnold, Elana K.",Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Damsel,"Arnold, Elana K.",Florida,Escambia County Public Schools,Oct-22,Banned Pending Investigation,Formal Challenge
Damsel,"Arnold, Elana K.",Florida,Flagler Schools,Apr-23,Banned from Libraries and Classrooms,Formal Challenge
Damsel,"Arnold, Elana K.",Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
Damsel,"Arnold, Elana K.",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
Damsel,"Arnold, Elana K.",Florida,School District of Manatee County,Jul-22,Banned from Libraries,Legislative Action
Damsel,"Arnold, Elana K.",Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Daring to Dream,"Roberts, Nora",Florida,Martin County Schools,Mar-23,Banned from Libraries and Classrooms,Formal Challenge
Darius the Great Deserves Better,"Khorram, Adib",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Darius the Great Deserves Better,"Khorram, Adib",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
Darius the Great Deserves Better,"Khorram, Adib",Florida,Volusia County Schools,Jan-23,Banned from Libraries,Administration
Darkness Before Dawn,"Draper, Sharon M.",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Dash & Lily's Book of Dares,"Cohn, Rachel",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Date Rape (At Issue),"Watkins, Christine",Florida,Seminole County Public Schools,Oct-22,Banned from Libraries,Formal Challenge
David and Goliath (CS),"Storr, Catherine",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
David and Goliath (LF),"Fisher, Leonard Everett",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
David and Goliath (MA),"Auld, Mary",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
David and the Giant,"Little, Emily",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Dead Until Dark,"Harris, Charlaine",Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
Dead Until Dark,"Harris, Charlaine",Florida,Duval County Public Schools,Mar-23,Banned from Libraries and Classrooms,Administration
Dead Until Dark,"Harris, Charlaine",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
Dead Until Dark,"Harris, Charlaine",Florida,Highlands Schools,Sep-22,Banned Pending Investigation,Informal Challenge
Dear Edward,"Napolitano, Ann",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Dear Justyce,"Stone, Nic",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Dear Martin,"Stone, Nic",Florida,Clay County School District,Jul-22,Banned from Libraries,Formal Challenge
Death Wind,"Bell, William",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Deogratias: A Tale of Rwanda,"Stassen, Jean-Philippe",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
Deogratias: A Tale of Rwanda,"Stassen, Jean-Philippe",Florida,Seminole County Public Schools,Oct-22,Banned from Libraries,Formal Challenge
Detective Dan and the Puzzling Pizza Mystery,"Roland, Timothy",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Deuteronomy: The Jewish Children's Bible,"Prenzlau, Sheryl",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Different Kinds of Fruit,"Lukoff, Kyle",Florida,Broward County Public Schools,Oct-22,Banned from Libraries,Informal Challenge
Dime,"Frank, E. R.",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Dime,"Frank, E. R.",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
Dishes,"Wallace, Rich",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Doing It!: Let's Talk About Sex,"Witton, Hannah",Florida,Duval County Public Schools,Mar-23,Banned from Libraries and Classrooms,Administration
Doing It!: Let's Talk About Sex,"Witton, Hannah",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
Dracula,"Thorne, Ian",Florida,Gilchrist County Schools,Mar-23,Banned from Libraries and Classrooms,Administration
